59,"@Hichambnns_ @Yaanis__ @jeffreyls93 @VMiliboy @brahim_psg5 @encorizzors8 @ActuFoot_ Avant sa blessure qui a enchaîné son retour prématuré et sa victimisation devant Suarez il était très chaud"
60,"Pollution de l'air : le Conseil d'État somme le gouvernement d'agir rapidement #Collterr https://t.co/3y2SeN02pH https://t.co/5RPRb9P1so"
61,"@Astro_foxiota @BibzIrae @IraeGaming Merci beaucoup ! Si tu vois d’autre annonce je veux bien que tu me tag 👍🏻"
62,"@IamJulieGayet @OLfeminin En réponse à @IamJulieGayet merci à vous pour votre soutien # allée les Lyonnaises 👊🏽"
63,"Le cimentier Lafarge soupçonné de déverser des eaux usées contenant du ciment et du plastique dans la Seine à Paris - Une enquête a été ouverte - VIDEO #lafarge #enquête #pollution #Paris #seine #video https://t.co/Wwsk3oHcD4"
64,"LIBAN : le Pape demande une journée de prière et de jeûne pour le Liban vendredi 4 septembre. implorons la conversion des âmes dans le monde entier, le retour à Jésus https://t.co/D9sE4VhWOK"
65,"Lionel Jospin sur @franceinter ce matin. Unr voix forte, franche, intelligente, posée.... 2002, cette erreur colossale d’un peuple souverain mais pas malin."
66,"@timmaymon @AfterRMC @kevindiaz11 @DamPerrinelle  #Rmclive  Oui à la réforme des musiques d entrée éclatée"
67,"Je suis totalement incapable d'attendre. Nouvelle vidéo. Ce soir. 17h30. On parlera de @robertosaviano. https://t.co/MrIXGq5mhS #VendrediLecture https://t.co/UYnOcDXskL"
68,"@DocteurX6 @NiniSemperPhi @KaO_WO_KeTSU @_LICRA_ @olivierveran Parce que bien sûr elle n'est pas au courant... 🤦🏼‍♀️ Le devoir d'un médecin est avant tout d'écouter son ou sa patiente. Si une femme grosse va voir un-e dermatologue pour vérifier ses grains de beauté, le-la dermatologue n'a strictement rien à dire sur son physique."
69,"Voilà une très belle vidéo résumant en images le vol DM-2 de la capsule Crew Dragon de @SpaceX avec @AstroBehnken et @Astro_Doug !  https://t.co/978vtT0CAE"
70,"Les hommages se multiplient après la mort du journaliste Philippe Frémeaux https://t.co/pVxNYpfJaF https://t.co/wZ1xVKDivc"
71,"Nouveau pont de #Genes : l'avant et l'après en 15 photos https://t.co/qHSt2u1sEN"
72,"@DanMcHee @_LICRA_ @olivierveran On peut tout à fait en être là sans qu'il y est de drame. Faut demander à la LICRA pour savoir quel medecin choisir maintenant?"
73,"Beau match ! 🔵⚪ On encaisse la Team 🔥  Brest vs Marseille 🇨🇵  Victoire Marseille 🔊 2,00 ✅✅✅  #TeamParieur #SB29OM https://t.co/0dn1S5zw4v"
74,"#VendrediLecture horrifique avec Gryyym... 🤩 Au menu : ""Les signes démentiels"", une nouvelle renversante, sucrée-salée, par Sabrina Calvo et @PeggyAnnMourot et ""Cette nuit-là"" de Gabriel Delmas et Attila Futaki : Lectures paranoïaques et sanglantes sous le soleil estival 😖 https://t.co/BxjA4IVHoB"
75,"Je suis d'accord avec Rachida Dati ! Incroyable ! https://t.co/M2Rjyd4GgK"
76,"@dseux @franceinter Sacré Jospin. L’austère qui se marre donne envie de pleurer devant tant d’absurdité."
77,"#LiberezSoral on condamne Soral un mec respectable beau charismatique avec des grosse mains pour mettre des tartes dans la gueule à Haziza mais vous voulez le foutre en taule qu'elle dommage"
78,"@runawaywithyou2 @Munduks_ @oxyaxa @selflibrarian @Laurier_the_Fox @JuliaCourvoizzz @_LICRA_ @olivierveran Y’a rien de raciste en fait. Je sais encore ce qu’est le racisme merci. Je suis raciste envers qui ? Moi même ?"
79,"Ça fait 1h40 je suis en réunion zoom cela m’a permis de me mettre parfaitement à jour sur tous les jokes de Adèle jamaïcaine en dreadlocks"
80,"➡️ Sergi Roberto et Jordi Alba compléteraient un milieu de terrain très encombré et à l'avant seraient Messi et Luis Suárez"
81,"Vous préférez en 1 de l'équipe ?"
